,question,Actual Abstract,Predicted Abstract,Answer
24,"When did Wilmer David ""Vinegar Bend"" Mizell die?","Wilmer David ""Vinegar Bend"" Mizell (August 13, 1930 – February 21, 1999) was a professional American athlete, playing as a pitcher for 14 years, and later a politician.","Wilmer David ""Vinegar Bend"" Mizell (August 13, 1930 – February 21, 1999) was a professional American athlete, playing as a pitcher for 14 years, and later a politician.","February 21, 1999"
25,Name an an American banker and politician who served as the 41st governor of Arkansas?,"Frank Durward White (born Durward Frank Kyle Jr.; June 4, 1933 – May 21, 2003) was an American banker and politician who served as the 41st governor of Arkansas.","Frank Durward White (born Durward Frank Kyle Jr.; June 4, 1933 – May 21, 2003) was an American banker and politician who served as the 41st governor of Arkansas.",Frank Durward White
26,Name an an American track and field sprinter and politician?,"Ralph Harold Metcalfe Sr. (May 29, 1910 – October 10, 1978) was an American track and field sprinter and politician.","Ralph Harold Metcalfe Sr. (May 29, 1910 – October 10, 1978) was an American track and field sprinter and politician.",Ralph Harold Metcalfe Sr.
27,Who is Dwayne D. Woodruff? ,"Dwayne D. Woodruff (born February 18, 1957) is a judge and former professional American football player who played twelve seasons as a cornerback for the Pittsburgh Steelers, where he accumulated 37 interceptions after being drafted in the sixth round in 1979.","Dwayne D. Woodruff (born February 18, 1957) is a judge and former professional American football player who played twelve seasons as a cornerback for the Pittsburgh Steelers, where he accumulated 37 interceptions after being drafted in the sixth round in 1979.",a judge
28,Who was also known as Durward Frank Kyle Jr?,"Frank Durward White (born Durward Frank Kyle Jr.; June 4, 1933 – May 21, 2003) was an American banker and politician who served as the 41st governor of Arkansas.","Frank Durward White (born Durward Frank Kyle Jr.; June 4, 1933 – May 21, 2003) was an American banker and politician who served as the 41st governor of Arkansas.",Frank Durward White
29,When did Walter Perry Johnson die?,"Walter Perry Johnson (November 6, 1887 – December 10, 1946), nicknamed ""Barney"" and ""The Big Train"", was a Major League Baseball right-handed pitcher.","Walter Perry Johnson (November 6, 1887 – December 10, 1946), nicknamed ""Barney"" and ""The Big Train"", was a Major League Baseball right-handed pitcher.","December 10, 1946"
30,Who was Richard Dwight Farmer?,"Richard Dwight Farmer (born August 25, 1969) is an American former collegiate basketball player and Republican Party politician from the U.S. state of Kentucky.","Richard Dwight Farmer (born August 25, 1969) is an American former collegiate basketball player and Republican Party politician from the U.S. state of Kentucky.",an American former collegiate basketball player and Republican Party politician from the U.S. state of Kentucky
31,"When was Hercules Richard ""Bumper"" Wright born?","Hercules Richard ""Bumper"" Wright (16 January 1881 – 4 April 1963) was a New Zealand rugby footballer who was part of the professional (rugby league) 1907–1908 New Zealand rugby tour of Great Britain.",He was a Teachta Dála (TD) for the Dublin North constituency.Wright was born in Dublin in 1947.,1947
32,"Who was Tutekawa ""Tu"" Wyllie?","Tutekawa ""Tu"" Wyllie (born 24 October 1954) is a former New Zealand politician and rugby union player.","Tutekawa ""Tu"" Wyllie (born 24 October 1954) is a former New Zealand politician and rugby union player.",former New Zealand politician
33,Name a  New Zealand racing-driver and a former politician in both local and national politics?,"Ian ""Inky"" Tulloch  (born 21 September 1950) is a New Zealand racing-driver and a former politician in both local and national politics.","Ian ""Inky"" Tulloch  (born 21 September 1950) is a New Zealand racing-driver and a former politician in both local and national politics.","Ian ""Inky"" Tulloch"
34,What was Howard Kevin Tamati generally known as?,"Howard Kevin Tamati  (born 3 January 1953), generally known as Howie Tamati, is a New Zealand politician and former professional rugby league footballer and coach who played for New Zealand.","Howard Kevin Tamati  (born 3 January 1953), generally known as Howie Tamati, is a New Zealand politician and former professional rugby league footballer and coach who played for New Zealand.",Howie Tamati
35,"When did William R. ""Bill"" Sullivan die?","William R. ""Bill"" Sullivan (September 10, 1942 – October 23, 2010) was an American painter, printmaker and publisher.","William R. ""Bill"" Sullivan (September 10, 1942 – October 23, 2010) was an American painter, printmaker and publisher.","October 23, 2010"
36,When was Maharaja Sir Bhupinder Singh born?,Maharaja Sir Bhupinder Singh or Bhuppa GCSI GCIE GCVO GBE (12 October 1891 – 23 March 1938) was the ruling  Maharaja of the princely state of Patiala in British India from 1900 to 1938.,Maharaja Sir Bhupinder Singh or Bhuppa GCSI GCIE GCVO GBE (12 October 1891 – 23 March 1938) was the ruling  Maharaja of the princely state of Patiala in British India from 1900 to 1938.,12 October 1891
37,"Who was Theodorus Jacobus Leonardus ""Dick"" Quax?","Theodorus Jacobus Leonardus ""Dick"" Quax (1 January 1948 – 28 May 2018) was a Dutch-born New Zealand runner, one-time world record holder in the 5000 metres, and local-body politician.","Spring concentrated on his constituency work and was returned in every election he stood in until he retired in 1981, his son Dick then successfully contesting the seat.",his son
38,Name an English born former Test and One-Day International cricketer and footballer who represented New Zealand at international level?,Victor Pollard (born 7 September 1945) is an English born former Test and One-Day International cricketer and footballer who represented New Zealand at international level.,Victor Pollard (born 7 September 1945) is an English born former Test and One-Day International cricketer and footballer who represented New Zealand at international level.,Victor Pollard
39,"Name an  American professional wrestler, actor, and traceur?","John Randall Hennigan (born October 3, 1979) is an American professional wrestler, actor, and traceur.","John Randall Hennigan (born October 3, 1979) is an American professional wrestler, actor, and traceur.",John Randall Hennigan
40,Who was John Barrie Skilbeck Hutchinson?,John Barrie Skilbeck Hutchinson (19 June 1926 – 14 February 2019) was a New Zealand rugby union and water polo player.,John Barrie Skilbeck Hutchinson (19 June 1926 – 14 February 2019) was a New Zealand rugby union and water polo player.,a New Zealand rugby union and water polo player
41,Name a a New Zealand rugby union player who played for the All Blacks on their 1905 tour?,"William Spiers ""Billy"" Glenn  (21 February 1877 – 5 October 1953) was a New Zealand rugby union player who played for the All Blacks on their 1905 tour.","William Spiers ""Billy"" Glenn  (21 February 1877 – 5 October 1953) was a New Zealand rugby union player who played for the All Blacks on their 1905 tour.","William Spiers ""Billy"" Glenn"
42,When was Roger Patrick Blundell Drayton born?,Roger Patrick Blundell Drayton  (4 January 1925 – 21 June 1986) was a New Zealand politician of the Labour Party.,Roger Patrick Blundell Drayton  (4 January 1925 – 21 June 1986) was a New Zealand politician of the Labour Party.,4 January 1925
43,Who is James Benn Bradshaigh Bradshaw?,James Benn Bradshaigh Bradshaw (22 September 1832 – 1 September 1886) was a 19th-century member of parliament in the Otago region of New Zealand.,James Pat McDaid (born 1980s) is an Irish sportsman and politician.,an Irish sportsman and politician
44,Name a New Zealand-born actor who achieved international stardom playing the part of original character Max Ramsay?,"Wayne Francis Earl Bell (18 April 1944 – 3 May 1994) was a New Zealand-born actor who achieved international stardom playing the part of original character Max Ramsay in the early years of the popular Australian soap opera, Neighbours.","Wayne Francis Earl Bell (18 April 1944 – 3 May 1994) was a New Zealand-born actor who achieved international stardom playing the part of original character Max Ramsay in the early years of the popular Australian soap opera, Neighbours.",Wayne Francis Earl Bell
45,"Who was a Cook Islands politician, Cabinet Minister and Deputy Prime Minister?","Inatio Akaruru CBE (31 March 1937 – 31 January 2014) was a Cook Islands politician, Cabinet Minister and Deputy Prime Minister.","Inatio Akaruru CBE (31 March 1937 – 31 January 2014) was a Cook Islands politician, Cabinet Minister and Deputy Prime Minister.",Inatio Akaruru CBE
46,Who was Major-General Sir Edward Wolstenholme Ward?,Major-General Sir Edward Wolstenholme Ward  (17 August 1823 – 5 February 1890) was an Indian-born British soldier and Australian politician as well as cricket player.,Major-General Sir Edward Wolstenholme Ward  (17 August 1823 – 5 February 1890) was an Indian-born British soldier and Australian politician as well as cricket player.,an Indian-born British soldier and Australian politician
47,"When was Terrence Keith ""Terry"" Waldron  born?","Terrence Keith ""Terry"" Waldron (born 17 February 1951) is an Australian politician.","Terrence Keith ""Terry"" Waldron (born 17 February 1951) is an Australian politician.",17 February 1951
48,"Name a former Australian cricketer, teacher, politician and public administrator who played in 21 Tests from 1963 to 1967?","Thomas Robert Veivers (born 6 April 1937 in Beenleigh, Queensland) is a former Australian cricketer, teacher, politician and public administrator who played in 21 Tests from 1963 to 1967.","Thomas Robert Veivers (born 6 April 1937 in Beenleigh, Queensland) is a former Australian cricketer, teacher, politician and public administrator who played in 21 Tests from 1963 to 1967.",Thomas Robert Veivers
49,"Who is Michael Desmond ""Mick"" Veivers?","Michael Desmond ""Mick"" Veivers  (born 12 August 1939) was the Member for Southport from 1987 to 2001 and was Minister for Emergency Services and Sport in the Borbidge Government.","His cousin, Greg Veivers was also a rugby league international.",cousin
50,Name an Australian rules footballer who represented Geelong in the Victorian Football League?,"Neil Benjamin ""Nipper"" Trezise (8 February 1931 – 20 August 2006) was an Australian rules footballer who represented Geelong in the Victorian Football League and later a politician who represented the Labor Party in the Victorian Legislative Assembly.","Neil Benjamin ""Nipper"" Trezise (8 February 1931 – 20 August 2006) was an Australian rules footballer who represented Geelong in the Victorian Football League and later a politician who represented the Labor Party in the Victorian Legislative Assembly.","Neil Benjamin ""Nipper"" Trezise"
51,When did Reginald 'Rex' Colin Townley die?,Reginald 'Rex' Colin Townley (15 April 1904—3 May 1982) was an Australian politician who served as leader of the Liberal Party in Tasmania from 1950 to 1956.,Reginald 'Rex' Colin Townley (15 April 1904—3 May 1982) was an Australian politician who served as leader of the Liberal Party in Tasmania from 1950 to 1956.,3 May 1982
52,Name a fictional character and a main antagonist in the novel Oliver Twist by Charles Dickens?,"William ""Bill"" Sikes is a fictional character and a main antagonist in the novel Oliver Twist by Charles Dickens.","William ""Bill"" Sikes is a fictional character and a main antagonist in the novel Oliver Twist by Charles Dickens.","William ""Bill"" Sikes"
53,"What is Shirley Barbara de la Hunty AO, MBE also known as?","Shirley Barbara de la Hunty AO, MBE (née Strickland; 18 July 1925 – 11 February 2004), known as Shirley Strickland during her early career, was an Australian athlete.","Shirley Barbara de la Hunty AO, MBE (née Strickland; 18 July 1925 – 11 February 2004), known as Shirley Strickland during her early career, was an Australian athlete.",Shirley Strickland
54,Name an English professional footballer who plays as a defender for Premier League club AFC Bournemouth?,Jack Benjamin Simpson (born 18 December 1996) is an English professional footballer who plays as a defender for Premier League club AFC Bournemouth.,Jack Benjamin Simpson (born 18 December 1996) is an English professional footballer who plays as a defender for Premier League club AFC Bournemouth.,Jack Benjamin Simpson
55,"Name an Australian politician, and a member of the Victorian Legislative Council for Melbourne Province?","Maurice Patrick Sheehy (12 June 1893 – 10 January 1961) was an Australian politician, and a member of the Victorian Legislative Council for Melbourne Province.","Maurice Patrick Sheehy (12 June 1893 – 10 January 1961) was an Australian politician, and a member of the Victorian Legislative Council for Melbourne Province.",Maurice Patrick Sheehy
56,When did Douglas James Shave die?,Douglas James Shave (4 January 1947 – 5 August 2017) was an Australian politician.,Douglas James Shave (4 January 1947 – 5 August 2017) was an Australian politician.,5 August 2017
57,Name a  former Australian cricketer who played several first-class matches for Queensland and later served in local government as the mayor?,"Donald Harry Seccombe  (born 3 April 1942) is a former Australian cricketer who played several first-class matches for Queensland during the early 1960s, and later served in local government as the mayor of Redland Shire.","Donald Harry Seccombe  (born 3 April 1942) is a former Australian cricketer who played several first-class matches for Queensland during the early 1960s, and later served in local government as the mayor of Redland Shire.",Donald Harry Seccombe
58,Name the reasurer of Victoria and inaugural president of the Melbourne Cricket Club?,"Frederick Armand Powlett (6 January 1811 – 9 June 1865) was a Treasurer of Victoria and inaugural president of the Melbourne Cricket Club.Powlett was born in Shropshire, England, the son of the Reverend Charles Powlett and descendant of cricket administrator Charles Powlett (1728–1809).","Frederick Armand Powlett (6 January 1811 – 9 June 1865) was a Treasurer of Victoria and inaugural president of the Melbourne Cricket Club.Powlett was born in Shropshire, England, the son of the Reverend Charles Powlett and descendant of cricket administrator Charles Powlett (1728–1809).",Frederick Armand Powlett
59,"Who is Sir Hubert Ferdinand Opperman, Kt OBE referred to as?","Sir Hubert Ferdinand Opperman, Kt OBE (29 May 1904 – 18 April 1996), referred to as Oppy by Australian and French crowds, was an Australian cyclist and politician, whose endurance cycling feats in the 1920s and 1930s earned him international acclaim.","Sir Hubert Ferdinand Opperman, Kt OBE (29 May 1904 – 18 April 1996), referred to as Oppy by Australian and French crowds, was an Australian cyclist and politician, whose endurance cycling feats in the 1920s and 1930s earned him international acclaim.",Oppy
60,Name a former Australian politician and Australian rules footballer who played for the Port Adelaide Football Club in the South Australian National Football League? ,Christopher William Natt (born 9 December 1952) is a former Australian politician and Australian rules footballer who played for the Port Adelaide Football Club in the South Australian National Football League (SANFL).,Christopher William Natt (born 9 December 1952) is a former Australian politician and Australian rules footballer who played for the Port Adelaide Football Club in the South Australian National Football League (SANFL).,Christopher William Natt
61,"When was Walter Raymond ""Ray"" McPharlin  born?","Walter Raymond ""Ray"" McPharlin (21 February 1916 – 13 July 1991) was the Country Party member for Mount Marshall in the Western Australian Legislative Assembly from 1967 to 1983.He played football for East Fremantle from 1938 to 1939 and in 1941, and was elected to the Assembly in 1967.","Walter Raymond ""Ray"" McPharlin (21 February 1916 – 13 July 1991) was the Country Party member for Mount Marshall in the Western Australian Legislative Assembly from 1967 to 1983.He played football for East Fremantle from 1938 to 1939 and in 1941, and was elected to the Assembly in 1967.",21 February 1916
62,"Name a former Australian politician who served as a member of the House of Representatives from 1990 to 1998, representing the Liberal Party.","Ian Murray McLachlan AO (born 2 October 1936) is a former Australian politician who served as a member of the House of Representatives from 1990 to 1998, representing the Liberal Party.","Ian Murray McLachlan AO (born 2 October 1936) is a former Australian politician who served as a member of the House of Representatives from 1990 to 1998, representing the Liberal Party.",Ian Murray McLachlan
63,Name a Congressionally designated wilderness area located in western Montana in the United States?,The Bob Marshall Wilderness Area is a Congressionally designated wilderness area located in western Montana in the United States.,The Bob Marshall Wilderness Area is a Congressionally designated wilderness area located in western Montana in the United States.,Bob Marshall Wilderness Area
64,When was Samuel John Everett Loxton born?,"Samuel John Everett Loxton, OBE (29 March 1921 – 3 December 2011) was an Australian cricketer, footballer and politician.","Samuel John Everett Loxton, OBE (29 March 1921 – 3 December 2011) was an Australian cricketer, footballer and politician.",29 March 1921
65,Name an Australian politician who served as the Liberal member for Lalor from 1966 to 1969?,Mervyn William Lee (18 August 1920 – 13 December 2009) was an Australian politician who served as the Liberal member for Lalor from 1966 to 1969.,Mervyn William Lee (18 August 1920 – 13 December 2009) was an Australian politician who served as the Liberal member for Lalor from 1966 to 1969.,Mervyn William Lee
66,"Name an Australian former professional rugby league footballer, and a former Australian Senator","Glenn Patrick Lazarus (born 11 December 1965) is an Australian former professional rugby league footballer, and a former Australian Senator.","Glenn Patrick Lazarus (born 11 December 1965) is an Australian former professional rugby league footballer, and a former Australian Senator.",Glenn Patrick Lazarus
67,"Who was Gilbert Roche Andrews ""Gil"" Langley?","Gilbert Roche Andrews ""Gil"" Langley  (14 September 1919 – 14 May 2001) was an Australian Test cricketer, champion Australian rules footballer and member of parliament, serving as Speaker of the South Australian House of Assembly from 1977 to 1979 for the Don Dunstan Labor government.","His father and his uncle, Gilbert, founded the chocolate-making company in 1873.",His father and his uncle
68,"When was Sir Wilfrid Selwyn ""Bill"" Kent Hughes born?","Sir Wilfrid Selwyn ""Bill"" Kent Hughes  (12 June 1895 – 31 July 1970) was an Australian army officer and politician who had a long career in both state and federal politics, most notably as a minister in the Menzies Government.","Sir Wilfrid Selwyn ""Bill"" Kent Hughes  (12 June 1895 – 31 July 1970) was an Australian army officer and politician who had a long career in both state and federal politics, most notably as a minister in the Menzies Government.",12 June 1895
69,"Name an an Australian politician, psychologist and vegan bodybuilder?","Emma Christine Hurst (born 1981) is an Australian politician, psychologist and vegan bodybuilder.","Emma Christine Hurst (born 1981) is an Australian politician, psychologist and vegan bodybuilder.",Emma Christine Hurst
70,"Who is Rendle McNeilage ""Mac"" Holten CMG?","Rendle McNeilage ""Mac"" Holten CMG (29 March 1922 – 12 October 1996) was an Australian politician and sportsman.","Rendle McNeilage ""Mac"" Holten CMG (29 March 1922 – 12 October 1996) was an Australian politician and sportsman.",an Australian politician
71,Who was an Australian politician who was a Liberal Party member of the Legislative Assembly of Western Australia from 1950 to 1968? ,"John Merrifield Hearman CMG (10 November 1910 – 20 February 1994) was an Australian politician who was a Liberal Party member of the Legislative Assembly of Western Australia from 1950 to 1968, representing the seat of Blackwood.",James Hegney (27 September 1891 – 5 May 1970) was an Australian politician who was a Labor Party member of the Legislative Assembly of Western Australia from 1930 to 1947 and again from 1950 to 1968.,James Hegney
72,When did Arthur Courthope Gull die?,"Arthur Courthope Gull (1 January 1867 – 30 March 1951) was an Australian politician who served as a member of the Legislative Assembly of Western Australia from 1905 to 1908, representing the seat of Swan.","Arthur Courthope Gull (1 January 1867 – 30 March 1951) was an Australian politician who served as a member of the Legislative Assembly of Western Australia from 1905 to 1908, representing the seat of Swan.",30 March 1951
73,Name a former professional tennis player who was a grass court specialist?,"Bob Gary Giltinan OAM (born 4 July 1949 in Sydney, New South Wales, Australia) is a former professional tennis player who was a grass court specialist.","Bob Gary Giltinan OAM (born 4 July 1949 in Sydney, New South Wales, Australia) is a former professional tennis player who was a grass court specialist.",Bob Gary Giltinan OAM
74,Who is John Hogan 'Jack' Gervasoni? ,John Hogan 'Jack' Gervasoni  (29 September 1929 – 9 February 1992) was an Australian rules footballer who played for Fitzroy in the Victorian Football League (VFL) and captain-coached Northcote in the Victorian Football Association (VFA).,John Hogan 'Jack' Gervasoni  (29 September 1929 – 9 February 1992) was an Australian rules footballer who played for Fitzroy in the Victorian Football League (VFL) and captain-coached Northcote in the Victorian Football Association (VFA).,an Australian rules footballer
75,"Name  a Scottish advocate, judge, writer and historian who served as Professor of Universal History at the University of Edinburgh?","Alexander Fraser Tytler, Lord Woodhouselee FRSE (15 October 1747 – 5 January 1813) was a Scottish advocate, judge, writer and historian who served as Professor of Universal History, and Greek and Roman Antiquities at the University of Edinburgh.","Alexander Fraser Tytler, Lord Woodhouselee FRSE (15 October 1747 – 5 January 1813) was a Scottish advocate, judge, writer and historian who served as Professor of Universal History, and Greek and Roman Antiquities at the University of Edinburgh.",Alexander Fraser Tytler
76,"When did Thomas William ""Tom"" Fox die? ","Thomas William ""Tom"" Fox (July 7, 1951 – March 9, 2006) was an American Quaker peace activist, affiliated with Christian Peacemaker Teams (CPT) in Iraq.","Thomas William ""Tom"" Fox (July 7, 1951 – March 9, 2006) was an American Quaker peace activist, affiliated with Christian Peacemaker Teams (CPT) in Iraq.","March 9, 2006"
77,When was Patrick Francis Daniel Farmer  born?,"Patrick Francis Daniel Farmer  (born 14 March 1962), an ultra-marathon athlete, motivational speaker, and former Australian politician, was a Member of the Australian House of Representatives, representing the seat of Macarthur in south-west Sydney, New South Wales from 2001 to 2010, as a member of the Liberal Party.","Patrick Francis Daniel Farmer  (born 14 March 1962), an ultra-marathon athlete, motivational speaker, and former Australian politician, was a Member of the Australian House of Representatives, representing the seat of Macarthur in south-west Sydney, New South Wales from 2001 to 2010, as a member of the Liberal Party.",14 March 1962
78,When was Henry Rowland Gascoigne Dumaresq born? ,Henry Rowland Gascoigne Dumaresq (20 February 1839 – 31 October 1924) was an Australian politician who represented the  electoral district of Longford in the Tasmanian House of Assembly between 1886 and 1903.,Henry Rowland Gascoigne Dumaresq (20 February 1839 – 31 October 1924) was an Australian politician who represented the  electoral district of Longford in the Tasmanian House of Assembly between 1886 and 1903.,20 February 1839
79,Name an Australian politician who serves as a senator for Victoria?,Richard Luigi Di Natale (born 6 June 1970) is an Australian politician who serves as a senator for Victoria.,Richard Luigi Di Natale (born 6 June 1970) is an Australian politician who serves as a senator for Victoria.,Richard Luigi Di Natale
80,What is Sir John George Davies generally known as?,"Sir John George Davies  (17 February 1846 – 12 November 1913), generally known as (Sir) George Davies, was a Tasmanian politician, newspaper proprietor and first-class cricketer.","Sir John George Davies  (17 February 1846 – 12 November 1913), generally known as (Sir) George Davies, was a Tasmanian politician, newspaper proprietor and first-class cricketer.",(Sir) George Davies
