question,Actual Abstract
What was Howard Kevin Tamati generally known as?,"Howard Kevin Tamati  (born 3 January 1953), generally known as Howie Tamati, is a New Zealand politician and former professional rugby league footballer and coach who played for New Zealand."
"When did William R. ""Bill"" Sullivan die?","William R. ""Bill"" Sullivan (September 10, 1942 – October 23, 2010) was an American painter, printmaker and publisher."
When was Maharaja Sir Bhupinder Singh born?,Maharaja Sir Bhupinder Singh or Bhuppa GCSI GCIE GCVO GBE (12 October 1891 – 23 March 1938) was the ruling  Maharaja of the princely state of Patiala in British India from 1900 to 1938.
"Who was Theodorus Jacobus Leonardus ""Dick"" Quax?","Theodorus Jacobus Leonardus ""Dick"" Quax (1 January 1948 – 28 May 2018) was a Dutch-born New Zealand runner, one-time world record holder in the 5000 metres, and local-body politician."
Name an English born former Test and One-Day International cricketer and footballer who represented New Zealand at international level?,Victor Pollard (born 7 September 1945) is an English born former Test and One-Day International cricketer and footballer who represented New Zealand at international level.
"Name an  American professional wrestler, actor, and traceur?","John Randall Hennigan (born October 3, 1979) is an American professional wrestler, actor, and traceur."
Who was John Barrie Skilbeck Hutchinson?,John Barrie Skilbeck Hutchinson (19 June 1926 – 14 February 2019) was a New Zealand rugby union and water polo player.
Name a a New Zealand rugby union player who played for the All Blacks on their 1905 tour?,"William Spiers ""Billy"" Glenn  (21 February 1877 – 5 October 1953) was a New Zealand rugby union player who played for the All Blacks on their 1905 tour."
When was Roger Patrick Blundell Drayton born?,Roger Patrick Blundell Drayton  (4 January 1925 – 21 June 1986) was a New Zealand politician of the Labour Party.
Who is James Benn Bradshaigh Bradshaw?,James Benn Bradshaigh Bradshaw (22 September 1832 – 1 September 1886) was a 19th-century member of parliament in the Otago region of New Zealand.
Name a New Zealand-born actor who achieved international stardom playing the part of original character Max Ramsay?,"Wayne Francis Earl Bell (18 April 1944 – 3 May 1994) was a New Zealand-born actor who achieved international stardom playing the part of original character Max Ramsay in the early years of the popular Australian soap opera, Neighbours."
"Who was a Cook Islands politician, Cabinet Minister and Deputy Prime Minister?","Inatio Akaruru CBE (31 March 1937 – 31 January 2014) was a Cook Islands politician, Cabinet Minister and Deputy Prime Minister."
Who was Major-General Sir Edward Wolstenholme Ward?,Major-General Sir Edward Wolstenholme Ward  (17 August 1823 – 5 February 1890) was an Indian-born British soldier and Australian politician as well as cricket player.
"When was Terrence Keith ""Terry"" Waldron  born?","Terrence Keith ""Terry"" Waldron (born 17 February 1951) is an Australian politician."
"Name a former Australian cricketer, teacher, politician and public administrator who played in 21 Tests from 1963 to 1967?","Thomas Robert Veivers (born 6 April 1937 in Beenleigh, Queensland) is a former Australian cricketer, teacher, politician and public administrator who played in 21 Tests from 1963 to 1967."
"Who is Michael Desmond ""Mick"" Veivers?","Michael Desmond ""Mick"" Veivers  (born 12 August 1939) was the Member for Southport from 1987 to 2001 and was Minister for Emergency Services and Sport in the Borbidge Government."
Name an Australian rules footballer who represented Geelong in the Victorian Football League?,"Neil Benjamin ""Nipper"" Trezise (8 February 1931 – 20 August 2006) was an Australian rules footballer who represented Geelong in the Victorian Football League and later a politician who represented the Labor Party in the Victorian Legislative Assembly."
When did Reginald 'Rex' Colin Townley die?,Reginald 'Rex' Colin Townley (15 April 1904—3 May 1982) was an Australian politician who served as leader of the Liberal Party in Tasmania from 1950 to 1956.
Name a fictional character and a main antagonist in the novel Oliver Twist by Charles Dickens?,"William ""Bill"" Sikes is a fictional character and a main antagonist in the novel Oliver Twist by Charles Dickens."
"What is Shirley Barbara de la Hunty AO, MBE also known as?","Shirley Barbara de la Hunty AO, MBE (née Strickland; 18 July 1925 – 11 February 2004), known as Shirley Strickland during her early career, was an Australian athlete."
Name an English professional footballer who plays as a defender for Premier League club AFC Bournemouth?,Jack Benjamin Simpson (born 18 December 1996) is an English professional footballer who plays as a defender for Premier League club AFC Bournemouth.
"Name an Australian politician, and a member of the Victorian Legislative Council for Melbourne Province?","Maurice Patrick Sheehy (12 June 1893 – 10 January 1961) was an Australian politician, and a member of the Victorian Legislative Council for Melbourne Province."
When did Douglas James Shave die?,Douglas James Shave (4 January 1947 – 5 August 2017) was an Australian politician.
Name a  former Australian cricketer who played several first-class matches for Queensland and later served in local government as the mayor?,"Donald Harry Seccombe  (born 3 April 1942) is a former Australian cricketer who played several first-class matches for Queensland during the early 1960s, and later served in local government as the mayor of Redland Shire."
Name the reasurer of Victoria and inaugural president of the Melbourne Cricket Club?,"Frederick Armand Powlett (6 January 1811 – 9 June 1865) was a Treasurer of Victoria and inaugural president of the Melbourne Cricket Club.Powlett was born in Shropshire, England, the son of the Reverend Charles Powlett and descendant of cricket administrator Charles Powlett (1728–1809)."
"Who is Sir Hubert Ferdinand Opperman, Kt OBE referred to as?","Sir Hubert Ferdinand Opperman, Kt OBE (29 May 1904 – 18 April 1996), referred to as Oppy by Australian and French crowds, was an Australian cyclist and politician, whose endurance cycling feats in the 1920s and 1930s earned him international acclaim."
Name a former Australian politician and Australian rules footballer who played for the Port Adelaide Football Club in the South Australian National Football League? ,Christopher William Natt (born 9 December 1952) is a former Australian politician and Australian rules footballer who played for the Port Adelaide Football Club in the South Australian National Football League (SANFL).
"When was Walter Raymond ""Ray"" McPharlin  born?","Walter Raymond ""Ray"" McPharlin (21 February 1916 – 13 July 1991) was the Country Party member for Mount Marshall in the Western Australian Legislative Assembly from 1967 to 1983.He played football for East Fremantle from 1938 to 1939 and in 1941, and was elected to the Assembly in 1967."
"Name a former Australian politician who served as a member of the House of Representatives from 1990 to 1998, representing the Liberal Party.","Ian Murray McLachlan AO (born 2 October 1936) is a former Australian politician who served as a member of the House of Representatives from 1990 to 1998, representing the Liberal Party."
Name a Congressionally designated wilderness area located in western Montana in the United States?,The Bob Marshall Wilderness Area is a Congressionally designated wilderness area located in western Montana in the United States.
When was Samuel John Everett Loxton born?,"Samuel John Everett Loxton, OBE (29 March 1921 – 3 December 2011) was an Australian cricketer, footballer and politician."
Name an Australian politician who served as the Liberal member for Lalor from 1966 to 1969?,Mervyn William Lee (18 August 1920 – 13 December 2009) was an Australian politician who served as the Liberal member for Lalor from 1966 to 1969.
"Name an Australian former professional rugby league footballer, and a former Australian Senator","Glenn Patrick Lazarus (born 11 December 1965) is an Australian former professional rugby league footballer, and a former Australian Senator."
"Who was Gilbert Roche Andrews ""Gil"" Langley?","Gilbert Roche Andrews ""Gil"" Langley  (14 September 1919 – 14 May 2001) was an Australian Test cricketer, champion Australian rules footballer and member of parliament, serving as Speaker of the South Australian House of Assembly from 1977 to 1979 for the Don Dunstan Labor government."
"When was Sir Wilfrid Selwyn ""Bill"" Kent Hughes born?","Sir Wilfrid Selwyn ""Bill"" Kent Hughes  (12 June 1895 – 31 July 1970) was an Australian army officer and politician who had a long career in both state and federal politics, most notably as a minister in the Menzies Government."
"Name an an Australian politician, psychologist and vegan bodybuilder?","Emma Christine Hurst (born 1981) is an Australian politician, psychologist and vegan bodybuilder."
"Who is Rendle McNeilage ""Mac"" Holten CMG?","Rendle McNeilage ""Mac"" Holten CMG (29 March 1922 – 12 October 1996) was an Australian politician and sportsman."
Who was an Australian politician who was a Liberal Party member of the Legislative Assembly of Western Australia from 1950 to 1968? ,"John Merrifield Hearman CMG (10 November 1910 – 20 February 1994) was an Australian politician who was a Liberal Party member of the Legislative Assembly of Western Australia from 1950 to 1968, representing the seat of Blackwood."
When did Arthur Courthope Gull die?,"Arthur Courthope Gull (1 January 1867 – 30 March 1951) was an Australian politician who served as a member of the Legislative Assembly of Western Australia from 1905 to 1908, representing the seat of Swan."
Name a former professional tennis player who was a grass court specialist?,"Bob Gary Giltinan OAM (born 4 July 1949 in Sydney, New South Wales, Australia) is a former professional tennis player who was a grass court specialist."
Who is John Hogan 'Jack' Gervasoni? ,John Hogan 'Jack' Gervasoni  (29 September 1929 – 9 February 1992) was an Australian rules footballer who played for Fitzroy in the Victorian Football League (VFL) and captain-coached Northcote in the Victorian Football Association (VFA).
"Name  a Scottish advocate, judge, writer and historian who served as Professor of Universal History at the University of Edinburgh?","Alexander Fraser Tytler, Lord Woodhouselee FRSE (15 October 1747 – 5 January 1813) was a Scottish advocate, judge, writer and historian who served as Professor of Universal History, and Greek and Roman Antiquities at the University of Edinburgh."
"When did Thomas William ""Tom"" Fox die? ","Thomas William ""Tom"" Fox (July 7, 1951 – March 9, 2006) was an American Quaker peace activist, affiliated with Christian Peacemaker Teams (CPT) in Iraq."
When was Patrick Francis Daniel Farmer  born?,"Patrick Francis Daniel Farmer  (born 14 March 1962), an ultra-marathon athlete, motivational speaker, and former Australian politician, was a Member of the Australian House of Representatives, representing the seat of Macarthur in south-west Sydney, New South Wales from 2001 to 2010, as a member of the Liberal Party."
When was Henry Rowland Gascoigne Dumaresq born? ,Henry Rowland Gascoigne Dumaresq (20 February 1839 – 31 October 1924) was an Australian politician who represented the  electoral district of Longford in the Tasmanian House of Assembly between 1886 and 1903.
Name an Australian politician who serves as a senator for Victoria?,Richard Luigi Di Natale (born 6 June 1970) is an Australian politician who serves as a senator for Victoria.
What is Sir John George Davies generally known as?,"Sir John George Davies  (17 February 1846 – 12 November 1913), generally known as (Sir) George Davies, was a Tasmanian politician, newspaper proprietor and first-class cricketer."
When did Percy Brereton Colquhoun die?,"Percy Brereton Colquhoun (28 September 1866 – 23 October 1936) was an Australian parliamentarian, lawyer and sportsman."
Name an Australian cricketer who played for Tasmania from 1971 until 1979?,Anthony John Benneworth (12 December 1950 – 10 March 2018) was an Australian cricketer who played for Tasmania from 1971 until 1979.
"Who is Sir Francis ""Frank"" Joseph Edmund Beaurepaire?","Sir Francis ""Frank"" Joseph Edmund Beaurepaire (13 May 1891 – 29 May 1956) was an Australian distance freestyle swimmer from the 1900s to the 1920s, who won three silver and three bronze medals, from the 1908 Summer Olympics in London to the 1924 Summer Olympics in Paris, setting 15 world records."
Name a Canadian lawyer and politician who served as the 17th prime minister of Canada?,"John Napier Wyndham Turner  (born June 7, 1929) is a Canadian lawyer and politician who served as the 17th prime minister of Canada from June 30 to September 17, 1984."
"When was Ravinder ""Ravi"" Kahlon born?","Ravinder ""Ravi"" Kahlon (born May 15, 1979 in Victoria, British Columbia) is a Canadian politician and field hockey player."
"Who is Michael Patrick ""Mickey"" Hennessy?","Michael Patrick ""Mickey"" Hennessy (August 8, 1915 — March 5, 1991) was a boxer and politician in Ontario, Canada."
Name a former Canadian Senator for British Columbia and a champion alpine skier voted as Canada's Female Athlete of the 20th Century.,"Nancy Catherine Greene Raine  (born May 11, 1943) is a former Canadian Senator for British Columbia and a champion alpine skier voted as Canada's Female Athlete of the 20th Century."
Name a  Canadian sportsman and a military commander who served in both World War I and II?,"Major-General Hardy Nelson Ganong CBE, VD, ED (Apr 18, 1890 - February 24, 1963) was a Canadian sportsman and a military commander who served in both World War I and II."
Who is Maria Michelle Fitzpatrick?,"Maria Michelle Fitzpatrick (born February 18, 1949) is a Canadian politician who was elected in the 2015 Alberta general election to the Legislative Assembly of Alberta representing the electoral district of Lethbridge-East."
Name a Canadian politician and the seventh Lieutenant Governor of Nova Scotia?,"Sir Malachy Bowes Daly  (February 6, 1836 – April 26, 1920) was a Canadian politician and the seventh Lieutenant Governor of Nova Scotia."
Name a a Canadian professional football player and politician?,"Emery Oakland Barnes, OBC (December 15, 1929 – July 1, 1998) was a Canadian professional football player and politician."
When did Sir Arthur Alexander Priestley die?,Sir Arthur Alexander Priestley (9 November 1865 – 10 April 1933) was an English Liberal Party politician and cricketer.
"Name a  British businessman, civil servant, publisher, politician and spelling reformer?","Sir Isaac James Pitman, KBE (14 August 1901 – 1 September 1985) was a British businessman, civil servant, publisher, politician and spelling reformer."
Who is William Saunders Sebright Lascelles PC?,William Saunders Sebright Lascelles PC (29 October 1798 – 2 July 1851) was a British Whig politician.
Name a Northern Ireland Ulster Unionist Party politician?,Clifford Forsythe (25 August 1929 – 27 April 2000) was a Northern Ireland Ulster Unionist Party politician.
Name a Welsh international rugby union wing who won two caps for the Wales national rugby union team?,"David Evans George ""Ewan"" Davies (23 June 1887 – 2 September 1979) was a Welsh international rugby union wing who won two caps for the Wales national rugby union team."
Who is Daniel Alan Byles FRGS?,"Daniel Alan Byles FRGS (born 24 June 1974) is a British politician, ocean rower, polar adventurer, mountaineer, and sailor."
Who was the earliest of three stallions that were the founders of the modern Thoroughbred horse racing bloodstock?,"The Byerley Turk (c. 1680 – c. 1706), also spelled Byerly Turk, was the earliest of three stallions that were the founders of the modern Thoroughbred horse racing bloodstock (the other two are the Godolphin Arabian and the Darley Arabian)."
When was Arthur Henry Bromley-Davenport born?,"Arthur Henry Bromley-Davenport (29  October 1867 – 15 December 1946), better known as A. Bromley Davenport, was an English actor born in Baginton, Warwickshire, England, UK.Bromley-Davenport made appearances in at least 77 films for television and cinema between 1920 and 1944."
Name a manufacturer of firearms under the Harrington & Richardson and New England Firearms trademarks?,"H&R 1871, LLC (Harrington & Richardson) is a manufacturer of firearms under the Harrington & Richardson and New England Firearms trademarks."
Name a British aristocrat and polo player who styled as Earl of Sunderland until 2014?,"George John Godolphin Spencer-Churchill, Marquess of Blandford (born 28 July 1992), styled as Earl of Sunderland until 2014, is a British aristocrat and polo player."
Who is Sir Francis Christopher Buchan Bland?,Sir Francis Christopher Buchan Bland (29 May 1938 – 28 January 2017) was a British businessman and politician.
When did William Henry Cavendish-Bentinck die?,"William Henry Cavendish-Bentinck  (14 September 1774 – 17 June 1839), known as Lord William Bentinck, was a British soldier and statesman."
Name an English amateur cricketer who played first-class cricket from 1820 to 1837 and a Whig politician?,Charles James Barnett (31 October 1796–31 December 1882) was an English amateur cricketer who played first-class cricket from 1820 to 1837 and a Whig politician who sat in the House of Commons from 1831 to 1835.
"Name a  professional Russian kickboxer, multiple world champion, social and political activist, member of the People's Khural of Kalmykia? ","Batu Sergeyevich Khasikov (Oirat: Хасгин Бату; Hasgin Batu; born June 28, 1980) is a professional Russian kickboxer, multiple world champion (ISKA, WAKO PRO, WKA and W5 K-1  World Champion, WAKO PRO European Champion), social and political activist, member of the People's Khural of Kalmykia (2008-2012) and representative for the Republic of Kalmykia in the Federation Council (2012-2014)."
"Name a Norwegian fencer, sports official and businessperson?","Hans Bergsland (15 November 1878 – 9 June 1956) was a Norwegian fencer, sports official and businessperson."
Name a retired Dutch politician of the People's Party for Freedom and Democracy?,Erica Georgina Terpstra (born 26 May 1943) is a retired Dutch politician of the People's Party for Freedom and Democracy (VVD).
Name a Northern Irish Unionist politician who served as Chairman of the Independent Unionist Association?,William McConnell Wilton was a Northern Irish Unionist politician who served as Chairman of the Independent Unionist Association.
When did Augustine Mary Moore Stack die?,Augustine Mary Moore Stack (7 December 1879 – 27 April 1929) was an Irish revolutionary and politician.
Who is Grace O'Sullivan?,Grace O'Sullivan (born 8 March 1962) is an Irish politician who has been a Member of the European Parliament (MEP) from Ireland for the South constituency since July 2019.
Who is Donogh Brendan O'Malley?,"Donogh Brendan O'Malley (17 January 1921 – 10 March 1968) was an Irish Fianna Fáil politician and rugby union player who served as Minister for Education from 1966 to 1968, Minister for Health from 1965 to 1966 and Parliamentary Secretary to the Minister for Finance from 1961 to 1965."
When was Bartholomew O'Keeffe born?,"Bartholomew O'Keeffe (born 2 April 1945) is a former Irish Fianna Fáil politician who served as Minister for Enterprise, Trade and Innovation from 2010 to 2011, Minister for Education and Science from 2008 to 2010, Minister of State for Housing and Urban Renewal from 2007 to 2008 and Minister of State for Environmental Protection from 2004 to 2007."
"What is Paul James Grady, an English comedian, television presenter, actor, writer, radio host, producer, and former drag queen better known as?","Paul James Grady, MBE (born 14 June 1955), better known as Paul O'Grady, is an English comedian, television presenter, actor, writer, radio host, producer, and former drag queen."
Who is Sir Henry George Hill Mulholland?,"Sir Henry George Hill Mulholland, 1st Baronet, PC DL (20 December 1888 – 5 March 1971) was a Northern Ireland politician."
Name a a former association footballer and a politician who is Ireland's oldest public representative either side of the island's border?,Ian McGarvey (born July 1929) is a former association footballer and a politician who is Ireland's oldest public representative either side of the island's border.
"What was James Larkin, an Irish republican, socialist and trade union leader sometimes known as?","James Larkin (21 January 1876 – 30 January 1947), sometimes known as Jim Larkin, was an Irish republican, socialist and trade union leader."
When was Colm M. Hilliard born?,"Colm M. Hilliard (28 May 1936 – 14 January 2002) was an Irish Fianna Fáil politician who sat for fifteen years as Teachta Dála (TD) for Meath.He was first elected to Dáil Éireann at the February 1982 general election, replacing retiring Labour Party TD James Tully, and giving Fianna Fáil three out of five Meath seats in the 23rd Dáil."
"Name an Irish poet, author, otolaryngologist, athlete, politician, and well-known conversationalist?","Oliver Joseph St John Gogarty (17 August 1878 – 22 September 1957) was an Irish poet, author, otolaryngologist, athlete, politician, and well-known conversationalist."
"When was Kenneth ""Kenny"" Egan born?","Kenneth ""Kenny"" Egan (born 7 January 1982) is an Irish politician and amateur boxer from Clondalkin, Dublin best known for winning a Silver Medal in the final of the 81 kg, Light-Heavyweight boxing final at the 2008 Olympics."
Name a former Irish Fine Gael politician who served as Minister of State for the Diaspora from 2014 to 2016?,"Jimmy Deenihan (born 11 September 1952) is a former Irish Fine Gael politician who served as Minister of State for the Diaspora from 2014 to 2016, Minister for Arts, Heritage and the Gaeltacht from 2011 to 2014 and Minister of State at the Department of Agriculture, Food and Forestry from 1994 to 1997."
Who was Air Marshal Sir George Robert Beamish?,"Air Marshal Sir George Robert Beamish,  (29 April 1905 – 13 November 1967) was a senior commander in the Royal Air Force from the Second World War to his retirement in the late 1950s."
Who is Dermot Christopher Ahern?,"Dermot Christopher Ahern (born 20 April 1955) is an Irish former Fianna Fáil politician who served as Minister for Justice and Law Reform from 2008 to 2011, Minister for Foreign Affairs from 2004 to 2008, Minister for Communications, Marine and Natural Resources from 2002 to 2004, Minister for Social, Community and Family Affairs from 1997 to 2002 and Government Chief Whip and Minister of State at the Department of Defence from 1991 to 1992."
Who is Vasilis Papageorgopoulos?,"Vasilis Papageorgopoulos (Greek: Βασίλης Παπαγεωργόπουλος; born June 27, 1947) is a retired Greek sprinter, former mayor of Thessaloniki."
Who is Maurice Bienvenu Jean Paul Trintignant?,"Maurice Bienvenu Jean Paul Trintignant (30 October 1917, in Sainte-Cécile-les-Vignes, Vaucluse – 13 February 2005, in Nîmes) was a motor racing driver and vintner from France."
Name an Olympic champion and politician who won gold at the 1976 Summer Olympics in Montreal in the 110 m hurdles?,Guy Drut (born 6 December 1950) is an Olympic champion and politician who won gold at the 1976 Summer Olympics in Montreal in the 110 m hurdles.
Who is David Donald Hubert Roger Douillet?,David Donald Hubert Roger Douillet (French pronunciation: ​[david dɔnald ybɛʁ ʁɔʒe dujɛ]; born 17 February 1969) is a retired French judoka and politician.
When was Juha Iisakki Mieto born?,"Juha Iisakki Mieto (born 20 November 1949) is a Finnish former cross-country skier, who was born in Kurikka."
Name a Finnish politician in the left-wing Finnish People's Democratic League?,Kuuno Ola Honkonen (1 March 1922 – 9 July 1985) was a Finnish politician in the left-wing Finnish People's Democratic League.
Who is Chi Ling Dai Cheng?,"Chi Ling Dai Cheng (July 15, 1970 – April 13, 2013) was an American musician and poet, best known as the bassist and backing vocalist for the American alternative metal band Deftones."
Name a former Sri Lankan cricketer and a former captain of the Sri Lankan national team?,Deshabandu Sanath Teran Jayasuriya (Sinhala: සනත් ටෙරාන් ජයසූරිය; born 30 June 1969) is a former Sri Lankan cricketer and a former captain of the Sri Lankan national team.
Name a Filipino former professional basketball player and television personality?,"Christopher John Alandy-Dy Tiu (born on July 15, 1985) is Filipino former professional basketball player and television personality."
"Who is Alberto ""Bobby"" Dapidran Pacquiao?","Alberto ""Bobby"" Dapidran Pacquiao (born Alberto Mejia Pacquiao on April 23, 1980) is a Filipino former professional boxer."
"Name a Filipino politician, serving as mayor of the municipality of Bulakan, Bulacan?","Vergel Meneses (born January 14, 1969, Malolos, Bulacan) is a Filipino politician, serving as mayor of the municipality of Bulakan, Bulacan."
"What is Rosalio D. Martires,  a Filipino retired basketball player, actor and comedian also known as?","Rosalio D. Martires (born September 9, 1951), also known as Yoyong Martirez, is a Filipino retired basketball player, actor and comedian."
Name a Filipino journalist and politician who gained widespread attention as Mayor of Manila from 1952 to 1962?,"Arsenio H. Lacson (December 26, 1912 – April 15, 1962) was a Filipino journalist and politician who gained widespread attention as Mayor of Manila from 1952 to 1962."
Name the 22nd and current Prime Minister of Pakistan and the chairman of the Pakistan Tehreek-e-Insaf?,Imran Ahmed Khan Niazi  (Urdu: عمران احمد خان نیازی‎; born 5 October 1952) is the 22nd and current Prime Minister of Pakistan and the chairman of the Pakistan Tehreek-e-Insaf (PTI).
"What is Syed Iftikhar Ali Bokhari, a Pakistani former politician and cricketer also known as?","Syed Iftikhar Ali Bokhari (born 6 July 1935 in Lahore), also known as IA Bokhari, is a Pakistani former politician and cricketer."
"Name a former sumo wrestler from Aomori, Japan?","Hayateumi Hidehito (born July 5, 1975 as Naohito Saitō) is a former sumo wrestler from Aomori, Japan."
"Name a Japanese politician, former speed skater and track cycling sprinter?","Seiko Hashimoto (Japanese: 橋本 聖子, Hashimoto Seiko, born 5 October 1964) is a Japanese politician, former speed skater and track cycling sprinter."
Who is Seyed Hamid Sajjadi Hazaveh?,"Seyed Hamid Sajjadi Hazaveh (Persian: سید حمید سجادی هزاوه‎, born 21 March 1969) is an Iranian retired middle distance and long distance runner."
Name an Iranian wrestler who won Olympic bronze medals in 1992 and 1996?,"Amir Reza Khadem Azghadi (Persian: امیررضا خادم ازغدی‎, born February 10, 1970) is an Iranian wrestler who won Olympic bronze medals in 1992 and 1996."
