,question,Actual Abstract,quest_emb,Predicted Abstract,Answer
10,Name an American soldier and statesman who served as the seventh president of the United States?,"Andrew Jackson (March 15, 1767 – June 8, 1845) was an American soldier and statesman who served as the seventh president of the United States from 1829 to 1837.","[[-0.02874381  0.04943122  0.10388581 ... -0.00919467  0.01406335
   0.10593148]]","Andrew Jackson (March 15, 1767 – June 8, 1845) was an American soldier and statesman who served as the seventh president of the United States from 1829 to 1837.",Andrew Jackson 
11,Name a British politician best known for being Chief Whip of Prime Minister David Lloyd George's Coalition Liberal Party?,"Frederick Edward ""Freddie"" Guest,  (14 June 1875 – 28 April 1937) was a British politician best known for being Chief Whip of Prime Minister David Lloyd George's Coalition Liberal Party, 1917–1921.",[[0.01666664 0.06574891 0.2842487  ... 0.0397041  0.01171095 0.15502381]],"Frederick Edward ""Freddie"" Guest,  (14 June 1875 – 28 April 1937) was a British politician best known for being Chief Whip of Prime Minister David Lloyd George's Coalition Liberal Party, 1917–1921.","Frederick Edward ""Freddie"" Guest"
12,When did Frederick Alers Hankey die?,Frederick Alers Hankey (29 March 1833 – 15 February 1892) was an English banker and Conservative politician who sat in the House of Commons from 1885 to 1892.,"[[-0.0087734   0.04943122 -0.17540526 ...  0.1222428   0.11021141
  -0.02679618]]",Frederick Alers Hankey (29 March 1833 – 15 February 1892) was an English banker and Conservative politician who sat in the House of Commons from 1885 to 1892.,15 February 1892
13,Who is the 45th and current president of the United States?,"Donald John Trump (born June 14, 1946) is the 45th and current president of the United States.","[[-0.02042911  0.06372681  0.10245018 ... -0.00508549  0.01406335
   0.10593148]]","Donald John Trump (born June 14, 1946) is the 45th and current president of the United States.","Donald John Trump (born June 14, 1946) is the 45th and current president of the United States."
14,"Who is Herbert Constantine ""Bistek"" Maclang Bautista?","Herbert Constantine ""Bistek"" Maclang Bautista (born May 12, 1968) is a Filipino actor and politician.","[[-0.02042911  0.16249861  0.00478365 ...  0.0151333   0.14885053
   0.02793919]]","Herbert Constantine ""Bistek"" Maclang Bautista (born May 12, 1968) is a Filipino actor and politician.","Herbert Constantine ""Bistek"" Maclang Bautista (born May 12, 1968) is a Filipino actor and politician."
15,Who is Herminio Ahumada?,Herminio Ahumada (7 October 1899 – 1 July 1983) was a Mexican politician and former sprinter who competed in the 1924 Summer Olympics.He was the President of the Chamber of Deputies in 1944.,"[[-0.02042911  0.04943122  0.01144956 ...  0.08363908  0.03027067
   0.00814979]]",Herminio Ahumada (7 October 1899 – 1 July 1983) was a Mexican politician and former sprinter who competed in the 1924 Summer Olympics.He was the President of the Chamber of Deputies in 1944.,Herminio Ahumada (7 October 1899 – 1 July 1983) was a Mexican politician and former sprinter who competed in the 1924 Summer Olympics.He was the President of the Chamber of Deputies in 1944.
16,Who is Carlos Roberto de Oliveira? ,"Carlos Roberto de Oliveira, known as Roberto or Roberto Dinamite (born 13 April 1954) is a Brazilian former footballer and politician.","[[-0.01117106  0.09937534  0.10019382 ...  0.03779429 -0.02082787
   0.02763995]]","Carlos Roberto de Oliveira, known as Roberto or Roberto Dinamite (born 13 April 1954) is a Brazilian former footballer and politician.","Carlos Roberto de Oliveira, known as Roberto or Roberto Dinamite (born 13 April 1954) is a Brazilian former footballer and politician."
17,Name a Brazilian politician and a former female volleyball player?,"Leila Gomes de Barros (born September 30, 1971) is a Brazilian politician and a former female volleyball player.",[[0.01855502 0.09891081 0.10684184 ... 0.02500538 0.02460958 0.08598497]],"Leila Gomes de Barros (born September 30, 1971) is a Brazilian politician and a former female volleyball player.",Leila Gomes de Barros 
18,"What is Carlos Alberto Reutemann, an Argentine former racing driver nicknamed as?","Carlos Alberto Reutemann (born April 12, 1942), nicknamed ""Lole"", is an Argentine former racing driver who raced in Formula One from 1972 through 1982, and later became a politician in his native province of Santa Fe, for the Justicialist Party, and governor of Santa Fe in Argentina.","[[-0.02042911  0.2741565   0.20530553 ...  0.0260584   0.00959537
   0.08746184]]","Carlos Alberto Reutemann (born April 12, 1942), nicknamed ""Lole"", is an Argentine former racing driver who raced in Formula One from 1972 through 1982, and later became a politician in his native province of Santa Fe, for the Justicialist Party, and governor of Santa Fe in Argentina.",Lole
19,Name an American retired jurist and former professional football player?,"Alan Cedric Page (born August 7, 1945) is an American retired jurist and former professional football player.","[[-0.02874381  0.08030635  0.05724516 ...  0.02231386 -0.015048
   0.08260758]]","Alan Cedric Page (born August 7, 1945) is an American retired jurist and former professional football player.",Alan Cedric Page 
20,"When was Ben Nighthorse Campbell,  a Cheyenne-American politician born?","Ben Nighthorse Campbell (born April 13, 1933) is a Cheyenne-American politician who served as a U.S. Representative from 1987 to 1993, and a U.S.","[[-0.01890067  0.04943122  0.12696144 ...  0.02533242 -0.0416528
   0.08229843]]","Glenn Thomas Jacobs (born April 26, 1967) is an American professional wrestler, actor, author, businessman, and politician.",Answer not found!
21,Who was Colonel Arthur Espie Porritt?,"Colonel Arthur Espie Porritt, Baron Porritt,  (10 August 1900 – 1 January 1994) was a New Zealand physician, military surgeon, statesman and athlete.","[[-0.01890067  0.04943122  0.1401363  ...  0.00940822  0.04226395
   0.04925182]]","Colonel Arthur Espie Porritt, Baron Porritt,  (10 August 1900 – 1 January 1994) was a New Zealand physician, military surgeon, statesman and athlete.","Colonel Arthur Espie Porritt, Baron Porritt,  (10 August 1900 – 1 January 1994) was a New Zealand physician, military surgeon, statesman and athlete."
22,"Who was William Spiers ""Billy"" Glenn?","William Spiers ""Billy"" Glenn  (21 February 1877 – 5 October 1953) was a New Zealand rugby union player who played for the All Blacks on their 1905 tour.","[[-0.01890067  0.04943122  0.07359568 ...  0.03476685  0.02266138
   0.01821707]]","Charles Smith (""C.S."")",Answer not found!
23,Who is Leila Gomes de Barros?,"Leila Gomes de Barros (born September 30, 1971) is a Brazilian politician and a former female volleyball player.","[[-0.02042911  0.10449923  0.06814852 ... -0.01258784 -0.02885884
   0.00983478]]","M. Roy Wilson M.D., M.S.",Answer not found!
24,"When did Wilmer David ""Vinegar Bend"" Mizell die?","Wilmer David ""Vinegar Bend"" Mizell (August 13, 1930 – February 21, 1999) was a professional American athlete, playing as a pitcher for 14 years, and later a politician.","[[-0.00310002  0.17342976  0.08956654 ...  0.08088955  0.01788226
   0.01363133]]","Wilmer David ""Vinegar Bend"" Mizell (August 13, 1930 – February 21, 1999) was a professional American athlete, playing as a pitcher for 14 years, and later a politician.",February 21 1999
25,Name an an American banker and politician who served as the 41st governor of Arkansas?,"Frank Durward White (born Durward Frank Kyle Jr.; June 4, 1933 – May 21, 2003) was an American banker and politician who served as the 41st governor of Arkansas.","[[-0.02874381  0.04943122  0.10641154 ...  0.01951848  0.02751427
   0.09819913]]","Frank Durward White (born Durward Frank Kyle Jr.; June 4, 1933 – May 21, 2003) was an American banker and politician who served as the 41st governor of Arkansas.",Frank Durward White 
26,Name an an American track and field sprinter and politician?,"Ralph Harold Metcalfe Sr. (May 29, 1910 – October 10, 1978) was an American track and field sprinter and politician.","[[-0.02874381  0.16940536  0.03177681 ...  0.0515871  -0.00799542
   0.06218874]]",Dan Biocchi is a Canadian politician and former Olympian in the 1976 Olympic Games (track and field).,Answer not found!
27,Who is Dwayne D. Woodruff? ,"Dwayne D. Woodruff (born February 18, 1957) is a judge and former professional American football player who played twelve seasons as a cornerback for the Pittsburgh Steelers, where he accumulated 37 interceptions after being drafted in the sixth round in 1979.","[[-0.02042911  0.04943122  0.08137845 ...  0.06498296 -0.05042402
   0.01701913]]","M. Roy Wilson M.D., M.S.",Answer not found!
28,Who was also known as Durward Frank Kyle Jr?,"Frank Durward White (born Durward Frank Kyle Jr.; June 4, 1933 – May 21, 2003) was an American banker and politician who served as the 41st governor of Arkansas.","[[-0.01890067  0.09802186 -0.03265752 ...  0.03095031  0.07247165
   0.0825186 ]]","William ""Bill"" Sikes is a fictional character and a main antagonist in the novel Oliver Twist by Charles Dickens.",Answer not found!
29,When did Walter Perry Johnson die?,"Walter Perry Johnson (November 6, 1887 – December 10, 1946), nicknamed ""Barney"" and ""The Big Train"", was a Major League Baseball right-handed pitcher.","[[-0.02874381  0.04943122 -0.03030929 ...  0.01281478 -0.01320406
   0.01320491]]",Thos.,Answer not found!
30,Who was Richard Dwight Farmer?,"Richard Dwight Farmer (born August 25, 1969) is an American former collegiate basketball player and Republican Party politician from the U.S. state of Kentucky.","[[-0.01890067  0.04943122 -0.00442295 ...  0.018721    0.0376543
   0.05793531]]",David Henry Barnett was an American CIA officer.,Answer not found!
31,"When was Hercules Richard ""Bumper"" Wright born?","Hercules Richard ""Bumper"" Wright (16 January 1881 – 4 April 1963) was a New Zealand rugby footballer who was part of the professional (rugby league) 1907–1908 New Zealand rugby tour of Great Britain.","[[-0.01890067  0.04943122 -0.05796396 ...  0.04410325  0.01635076
   0.07292564]]","Joseph Anthony Flynn III (November 8, 1924 – July 19, 1974) was an American character actor.",Answer not found!
32,"Who was Tutekawa ""Tu"" Wyllie?","Tutekawa ""Tu"" Wyllie (born 24 October 1954) is a former New Zealand politician and rugby union player.","[[ 0.01184874  0.04943122 -0.06498232 ...  0.06075803 -0.06702587
   0.06932569]]","Charles Smith (""C.S."")",Answer not found!
33,Name a  New Zealand racing-driver and a former politician in both local and national politics?,"Ian ""Inky"" Tulloch  (born 21 September 1950) is a New Zealand racing-driver and a former politician in both local and national politics.",[[0.01666664 0.10486445 0.09014446 ... 0.04089118 0.00758189 0.12911777]],"Ian ""Inky"" Tulloch  (born 21 September 1950) is a New Zealand racing-driver and a former politician in both local and national politics.","Ian ""Inky"" Tulloch  "
34,What was Howard Kevin Tamati generally known as?,"Howard Kevin Tamati  (born 3 January 1953), generally known as Howie Tamati, is a New Zealand politician and former professional rugby league footballer and coach who played for New Zealand.","[[-0.01890067  0.15368156  0.14383066 ...  0.04064446  0.0017485
   0.05117181]]","Howard Kevin Tamati  (born 3 January 1953), generally known as Howie Tamati, is a New Zealand politician and former professional rugby league footballer and coach who played for New Zealand.",Howie Tamati
35,"When did William R. ""Bill"" Sullivan die?","William R. ""Bill"" Sullivan (September 10, 1942 – October 23, 2010) was an American painter, printmaker and publisher.","[[-0.02811727  0.04943122  0.11691337 ...  0.03126079  0.0216018
  -0.02802292]]","Charles Smith (""C.S."")",Answer not found!
36,When was Maharaja Sir Bhupinder Singh born?,Maharaja Sir Bhupinder Singh or Bhuppa GCSI GCIE GCVO GBE (12 October 1891 – 23 March 1938) was the ruling  Maharaja of the princely state of Patiala in British India from 1900 to 1938.,"[[ 0.0272432   0.04943122  0.1251076  ... -0.01258784  0.05745574
   0.02581352]]",Maharaja Sir Bhupinder Singh or Bhuppa GCSI GCIE GCVO GBE (12 October 1891 – 23 March 1938) was the ruling  Maharaja of the princely state of Patiala in British India from 1900 to 1938.,October 1891 –
37,"Who was Theodorus Jacobus Leonardus ""Dick"" Quax?","Theodorus Jacobus Leonardus ""Dick"" Quax (1 January 1948 – 28 May 2018) was a Dutch-born New Zealand runner, one-time world record holder in the 5000 metres, and local-body politician.","[[-0.01890067  0.04943122  0.04872152 ...  0.09209462 -0.00262093
   0.06155128]]","Theodorus Jacobus Leonardus ""Dick"" Quax (1 January 1948 – 28 May 2018) was a Dutch-born New Zealand runner, one-time world record holder in the 5000 metres, and local-body politician.","Theodorus Jacobus Leonardus ""Dick"" Quax (1 January 1948 – 28 May 2018) was a Dutch-born New Zealand runner, one-time world record holder in the 5000 metres, and local-body politician."
38,Name an English born former Test and One-Day International cricketer and footballer who represented New Zealand at international level?,Victor Pollard (born 7 September 1945) is an English born former Test and One-Day International cricketer and footballer who represented New Zealand at international level.,[[0.01109498 0.07786762 0.16999406 ... 0.0493406  0.01621725 0.11011507]],Victor Pollard (born 7 September 1945) is an English born former Test and One-Day International cricketer and footballer who represented New Zealand at international level.,Victor Pollard 
39,"Name an  American professional wrestler, actor, and traceur?","John Randall Hennigan (born October 3, 1979) is an American professional wrestler, actor, and traceur.","[[-0.01829367  0.04943122  0.04848573 ... -0.00024699  0.01106729
   0.08391162]]","John Randall Hennigan (born October 3, 1979) is an American professional wrestler, actor, and traceur.",John Randall Hennigan 
40,Who was John Barrie Skilbeck Hutchinson?,John Barrie Skilbeck Hutchinson (19 June 1926 – 14 February 2019) was a New Zealand rugby union and water polo player.,"[[-0.01890067  0.04943122 -0.10697438 ...  0.00023576  0.02722919
   0.04297183]]","Howard William Meeker, C.M.",Answer not found!
41,Name a a New Zealand rugby union player who played for the All Blacks on their 1905 tour?,"William Spiers ""Billy"" Glenn  (21 February 1877 – 5 October 1953) was a New Zealand rugby union player who played for the All Blacks on their 1905 tour.",[[0.01666664 0.04943122 0.15720014 ... 0.06592854 0.00100799 0.10636433]],"William Spiers ""Billy"" Glenn  (21 February 1877 – 5 October 1953) was a New Zealand rugby union player who played for the All Blacks on their 1905 tour.","William Spiers ""Billy"" Glenn  "
42,When was Roger Patrick Blundell Drayton born?,Roger Patrick Blundell Drayton  (4 January 1925 – 21 June 1986) was a New Zealand politician of the Labour Party.,"[[-0.01569905  0.11443748  0.11495165 ... -0.01258784  0.06322479
   0.04208614]]",David Ian Calder (born 1 August 1946) is an English actor.,Answer not found!
43,Who is James Benn Bradshaigh Bradshaw?,James Benn Bradshaigh Bradshaw (22 September 1832 – 1 September 1886) was a 19th-century member of parliament in the Otago region of New Zealand.,"[[-0.02042911  0.04943122  0.08950672 ... -0.01258786 -0.04525151
   0.06160312]]",Hon.,Answer not found!
44,Name a New Zealand-born actor who achieved international stardom playing the part of original character Max Ramsay?,"Wayne Francis Earl Bell (18 April 1944 – 3 May 1994) was a New Zealand-born actor who achieved international stardom playing the part of original character Max Ramsay in the early years of the popular Australian soap opera, Neighbours.",[[0.01666664 0.06164972 0.15073736 ... 0.07194898 0.05551955 0.10504034]],"Wayne Francis Earl Bell (18 April 1944 – 3 May 1994) was a New Zealand-born actor who achieved international stardom playing the part of original character Max Ramsay in the early years of the popular Australian soap opera, Neighbours.",Wayne Francis Earl Bell 
45,"Who was a Cook Islands politician, Cabinet Minister and Deputy Prime Minister?","Inatio Akaruru CBE (31 March 1937 – 31 January 2014) was a Cook Islands politician, Cabinet Minister and Deputy Prime Minister.","[[-0.00903964  0.04943122  0.20126359 ...  0.05936966  0.1529995
   0.15830685]]","Inatio Akaruru CBE (31 March 1937 – 31 January 2014) was a Cook Islands politician, Cabinet Minister and Deputy Prime Minister.","Inatio Akaruru CBE (31 March 1937 – 31 January 2014) was a Cook Islands politician, Cabinet Minister and Deputy Prime Minister."
46,Who was Major-General Sir Edward Wolstenholme Ward?,Major-General Sir Edward Wolstenholme Ward  (17 August 1823 – 5 February 1890) was an Indian-born British soldier and Australian politician as well as cricket player.,"[[-0.01057411  0.04943122 -0.0204941  ...  0.01624954  0.10601801
   0.01899889]]",Major-General Sir Edward Wolstenholme Ward  (17 August 1823 – 5 February 1890) was an Indian-born British soldier and Australian politician as well as cricket player.,Major-General Sir Edward Wolstenholme Ward  (17 August 1823 – 5 February 1890) was an Indian-born British soldier and Australian politician as well as cricket player.
47,"When was Terrence Keith ""Terry"" Waldron  born?","Terrence Keith ""Terry"" Waldron (born 17 February 1951) is an Australian politician.","[[-0.01890067  0.04943122  0.09829745 ...  0.04168148 -0.01942993
   0.05118106]]","Terrence Keith ""Terry"" Waldron (born 17 February 1951) is an Australian politician.",17 February 1951
48,"Name a former Australian cricketer, teacher, politician and public administrator who played in 21 Tests from 1963 to 1967?","Thomas Robert Veivers (born 6 April 1937 in Beenleigh, Queensland) is a former Australian cricketer, teacher, politician and public administrator who played in 21 Tests from 1963 to 1967.",[[0.01666664 0.11606012 0.20099828 ... 0.04573393 0.07377777 0.11519685]],"Thomas Robert Veivers (born 6 April 1937 in Beenleigh, Queensland) is a former Australian cricketer, teacher, politician and public administrator who played in 21 Tests from 1963 to 1967.",Thomas Robert Veivers 
49,"Who is Michael Desmond ""Mick"" Veivers?","Michael Desmond ""Mick"" Veivers  (born 12 August 1939) was the Member for Southport from 1987 to 2001 and was Minister for Emergency Services and Sport in the Borbidge Government.","[[-0.02042911  0.04943122  0.04535369 ...  0.0693659  -0.05235648
   0.01368638]]","Michael Desmond ""Mick"" Veivers  (born 12 August 1939) was the Member for Southport from 1987 to 2001 and was Minister for Emergency Services and Sport in the Borbidge Government.","Michael Desmond ""Mick"" Veivers  (born 12 August 1939) was the Member for Southport from 1987 to 2001 and was Minister for Emergency Services and Sport in the Borbidge Government."
50,Name an Australian rules footballer who represented Geelong in the Victorian Football League?,"Neil Benjamin ""Nipper"" Trezise (8 February 1931 – 20 August 2006) was an Australian rules footballer who represented Geelong in the Victorian Football League and later a politician who represented the Labor Party in the Victorian Legislative Assembly.","[[-0.01431891  0.17831063  0.14675541 ... -0.01107806  0.03071813
   0.04770479]]",Kevin Philip Hardiman (24 July 1915 – 2 August 2002) was an Australian rules footballer who played for Essendon in the Victorian Football League (VFL).,Answer not found!
51,When did Reginald 'Rex' Colin Townley die?,Reginald 'Rex' Colin Townley (15 April 1904—3 May 1982) was an Australian politician who served as leader of the Liberal Party in Tasmania from 1950 to 1956.,"[[-0.01496483  0.12383321 -0.00991629 ...  0.03863981 -0.00534888
   0.00684633]]",Alexander Bell (A.B.),Answer not found!
52,Name a fictional character and a main antagonist in the novel Oliver Twist by Charles Dickens?,"William ""Bill"" Sikes is a fictional character and a main antagonist in the novel Oliver Twist by Charles Dickens.",[[0.01666664 0.07105003 0.0718866  ... 0.05145367 0.10801858 0.08425489]],"William ""Bill"" Sikes is a fictional character and a main antagonist in the novel Oliver Twist by Charles Dickens.","William ""Bill"" Sikes is a fictional character and a main antagonist in the novel Oliver Twist by Charles Dickens."
53,"What is Shirley Barbara de la Hunty AO, MBE also known as?","Shirley Barbara de la Hunty AO, MBE (née Strickland; 18 July 1925 – 11 February 2004), known as Shirley Strickland during her early career, was an Australian athlete.","[[-0.02042911  0.2182477   0.14142922 ...  0.04973166  0.00150624
   0.06430216]]","Shirley Barbara de la Hunty AO, MBE (née Strickland; 18 July 1925 – 11 February 2004), known as Shirley Strickland during her early career, was an Australian athlete.",Shirley Strickland
54,Name an English professional footballer who plays as a defender for Premier League club AFC Bournemouth?,Jack Benjamin Simpson (born 18 December 1996) is an English professional footballer who plays as a defender for Premier League club AFC Bournemouth.,[[0.01109498 0.04943122 0.19796483 ... 0.03492537 0.06737642 0.10657566]],Jack Benjamin Simpson (born 18 December 1996) is an English professional footballer who plays as a defender for Premier League club AFC Bournemouth.,Jack Benjamin Simpson 
55,"Name an Australian politician, and a member of the Victorian Legislative Council for Melbourne Province?","Maurice Patrick Sheehy (12 June 1893 – 10 January 1961) was an Australian politician, and a member of the Victorian Legislative Council for Melbourne Province.","[[-0.02874381  0.18772332  0.19278929 ...  0.02092342  0.0687079
   0.1041298 ]]","Maurice Patrick Sheehy (12 June 1893 – 10 January 1961) was an Australian politician, and a member of the Victorian Legislative Council for Melbourne Province.",Maurice Patrick Sheehy 
56,When did Douglas James Shave die?,Douglas James Shave (4 January 1947 – 5 August 2017) was an Australian politician.,"[[-0.02874381  0.04943122 -0.00195383 ...  0.11037983  0.08009116
   0.01421287]]",Thos.,Answer not found!
57,Name a  former Australian cricketer who played several first-class matches for Queensland and later served in local government as the mayor?,"Donald Harry Seccombe  (born 3 April 1942) is a former Australian cricketer who played several first-class matches for Queensland during the early 1960s, and later served in local government as the mayor of Redland Shire.",[[0.01666664 0.11606012 0.14544827 ... 0.03354404 0.04561194 0.10452364]],"Donald Harry Seccombe  (born 3 April 1942) is a former Australian cricketer who played several first-class matches for Queensland during the early 1960s, and later served in local government as the mayor of Redland Shire.",Donald Harry Seccombe  
58,Name the reasurer of Victoria and inaugural president of the Melbourne Cricket Club?,"Frederick Armand Powlett (6 January 1811 – 9 June 1865) was a Treasurer of Victoria and inaugural president of the Melbourne Cricket Club.Powlett was born in Shropshire, England, the son of the Reverend Charles Powlett and descendant of cricket administrator Charles Powlett (1728–1809).",[[0.01030746 0.11825274 0.14987373 ... 0.02253002 0.03884015 0.09004692]],"Anthony Peter ""Tony"" Coll is a New Zealand former professional rugby league footballer and coach who represented New Zealand in three World Cups.",Answer not found!
59,"Who is Sir Hubert Ferdinand Opperman, Kt OBE referred to as?","Sir Hubert Ferdinand Opperman, Kt OBE (29 May 1904 – 18 April 1996), referred to as Oppy by Australian and French crowds, was an Australian cyclist and politician, whose endurance cycling feats in the 1920s and 1930s earned him international acclaim.","[[-0.01150743  0.07478377  0.133158   ... -0.01258784  0.08642618
   0.05460053]]","Sir Hubert Ferdinand Opperman, Kt OBE (29 May 1904 – 18 April 1996), referred to as Oppy by Australian and French crowds, was an Australian cyclist and politician, whose endurance cycling feats in the 1920s and 1930s earned him international acclaim.","Sir Hubert Ferdinand Opperman, Kt OBE (29 May 1904 – 18 April 1996), referred to as Oppy by Australian and French crowds, was an Australian cyclist and politician, whose endurance cycling feats in the 1920s and 1930s earned him international acclaim."
60,Name a former Australian politician and Australian rules footballer who played for the Port Adelaide Football Club in the South Australian National Football League? ,Christopher William Natt (born 9 December 1952) is a former Australian politician and Australian rules footballer who played for the Port Adelaide Football Club in the South Australian National Football League (SANFL).,[[0.01666664 0.11606012 0.20418474 ... 0.03468815 0.07629271 0.09511047]],Christopher William Natt (born 9 December 1952) is a former Australian politician and Australian rules footballer who played for the Port Adelaide Football Club in the South Australian National Football League (SANFL).,Christopher William Natt 
61,"When was Walter Raymond ""Ray"" McPharlin  born?","Walter Raymond ""Ray"" McPharlin (21 February 1916 – 13 July 1991) was the Country Party member for Mount Marshall in the Western Australian Legislative Assembly from 1967 to 1983.He played football for East Fremantle from 1938 to 1939 and in 1941, and was elected to the Assembly in 1967.","[[-0.01890067  0.04943122  0.02095068 ...  0.07907698  0.0207635
   0.03215116]]","Richard Herbert ""Dick"" Beddoes (c. 1926 – 24 August 1991) was a Canadian sports journalist.",Answer not found!
62,"Name a former Australian politician who served as a member of the House of Representatives from 1990 to 1998, representing the Liberal Party.","Ian Murray McLachlan AO (born 2 October 1936) is a former Australian politician who served as a member of the House of Representatives from 1990 to 1998, representing the Liberal Party.",[[0.01666664 0.11606012 0.17957708 ... 0.09462406 0.03905635 0.10643382]],"Ian Murray McLachlan AO (born 2 October 1936) is a former Australian politician who served as a member of the House of Representatives from 1990 to 1998, representing the Liberal Party.",Ian Murray McLachlan AO 
63,Name a Congressionally designated wilderness area located in western Montana in the United States?,The Bob Marshall Wilderness Area is a Congressionally designated wilderness area located in western Montana in the United States.,[[0.03007833 0.1785278  0.15037376 ... 0.14085254 0.07932866 0.10593151]],The Bob Marshall Wilderness Area is a Congressionally designated wilderness area located in western Montana in the United States.,The Bob Marshall Wilderness Area is a Congressionally designated wilderness area located in western Montana in the United States.
